foodId,foodName
790,芝麻南瓜饼
791,芦荟苹果汁
792,清甜莲子
793,豌豆瘦肉粥
794,蘑菇木耳饺
795,烧菠菜
796,黄豆芽炖豆腐
797,鲜香菇煮豆腐
798,鸡蛋煎茄子
799,蘑烧冬瓜
800,甜杏仁
801,大豆芽冬菇脚腐皮汤
802,海蜇羹
803,羊肉(瘦)
804,滋补乌骨鸡
805,红枣银耳木耳猪腱汤
806,猪肝泥
807,番茄西米粥
808,西葫芦盅
809,青豆鱼头汤
810,什菜面
811,清蒸合页鱼
812,杞子炖羊脑
813,飘香四季豆
814,蟹肉虾仁羹
815,紫米薏仁粥
816,牛奶菠菜粥
817,脆爆海带
818,茄子海米汤
819,南瓜团子
820,耙子萝卜鹌鹑汤
821,铁排青鱼
822,煎猪腰子串
823,土茯苓猪骨汤
824,凉拌苦瓜丝
825,虾米芋头粥
826,萝卜拌菜花
827,青鱼甩水
828,山药茶
829,蘑菇木耳西兰花腐竹汤
830,莲子红豆沙
831,鸡肝
832,葡萄干粥
833,奶油菜花
834,红焖螃蟹
835,莲子桂圆汤
836,草莓柚奶汁
837,鹌鹑蛋汤
838,雪梨莲藕汁
839,酿冬瓜
840,芦笋三素
841,黄芪桂皮鲈鱼汤
842,栗子鸽肉煲
843,莲藕黄豆排骨汤
844,木耳肉片汤
845,鱼香油菜心
846,羊肉炖柿子
847,橘味海带丝
848,开水白菜
849,椒盐腌白菜
850,海参火锅
851,何首乌红枣粥
852,香蕉葡萄干牛奶
853,豆腐紫菜兔肉汤
854,栀子粥
855,胡桃龙眼鸡丁
856,香炒苋菜
857,苹果玉米豆粉羹
858,凤梨墨鱼
859,糯米粉粥
860,阿胶麦冬粥
861,花卷鱿鱼
862,贵妃鸡翅
863,蘑菇鸡
864,黄瓜炒猪肝
865,西湖牛肉羹
866,参芪鲤鱼
867,油麦菜
868,凤梨山楂汤
869,杏仁苹果豆腐羹
870,红烧菜花
871,芪蒸鹌鹑
872,香肥带鱼
873,鸭蛋豆腐
874,芝麻酱菜
875,猪肉鸭蛋汤
876,生枣花生红糖汤
877,素炒苦瓜
878,冬瓜鲤鱼汤
879,蟹黄豆腐
880,当归沙参乌鸡汤
881,烧肉蛋包饭
882,当归首乌鸡肉汤
883,腐竹拌菠菜
884,油菜金针菇
885,茄子腐竹汤
886,香汁茄子
887,紫菜色拉卷
888,芹菜益母汤
889,辣椒(青、尖)
890,火腿海参木耳排骨汤
891,砂仁鳝鱼丝
892,黄瓜拌白肉
893,干腌菜
894,栗子大枣炖母鸡
895,黑豆莲藕鸡汤
896,青椒绿豆芽
897,番茄大豆芽草菇豆腐汤
898,蜜饯山楂
899,煮豆泡
900,白萝卜浓汤
901,山药萝卜粥
902,荷叶软蒸鱼
903,益母草红枣瘦肉汤
904,香菇肉圆
905,枣莲三宝粥
906,当归花草汤
907,芹菜蜜汁
908,白果麦片粥
909,西红柿炖鲅鱼
910,红萝卜紫菜合掌瓜汤
911,猪心当归汤
912,口袋豆腐汤
913,白果百合炒桂圆
914,糯米花生麦粥
915,苦参鸡蛋
916,熏猪肉
917,松花蛋拌青椒
918,葱油苦瓜
919,菠萝麻茸鸽蛋
920,五味花生
921,绿豆芽拌海带
922,海蜇猪骨汤
923,鹌鹑粥
924,白扁豆粳米粥
925,豆薯小米粥
926,红白豆腐羹
927,冬菇云耳丝瓜豆腐汤
928,醋梨
929,蘑菇烩蛋白
930,鸽蛋圆子
931,菠菜双蛋羹
932,草菇汤
933,茉莉竹荪汤
934,清炒绿菜花
935,白果包
936,山药羊肉粥
937,蟹汁蒸鲈鱼
938,烧豆腐丸汤
939,鸡蛋银耳羹
940,奶香蘑菇
941,干丝黄豆芽汤
942,墨鱼炖桃仁
943,清蒸山药炉鸭
944,鱼粥
945,白菜心拌海蜇皮
946,炒麦芽肉片汤
947,莴苣叶煎蛋汤
948,宫爆墨鱼仔
949,夹沙香蕉
950,香菇（干）
951,桂圆牛肉汤
952,芥茉拌菜花
953,猪肺杏仁白菜汤
954,清蒸鸡蛋羹
955,杭式牛肉羹
956,芝麻蒜苔
957,香菜拌豆芽
958,菜花泥子汤
959,番茄苹果芝麻蜜
960,芝麻酱拌粉丝
961,鸭骨
962,丝瓜饺
963,鸡肉白薯粥
964,香拌菜花
965,海蜇马蹄汤
966,五香芹菜豆
967,琉璃山药
968,滑熘平菇
969,冬瓜粥
970,酸甜菜花
971,菠萝明虾片
